,0,1,2,,,0,1,2
ATCAY,0,0,1,,LN443_CENTRAL_NERVOUS_SYSTEM,1,0,0
ATF1,0,0,1,,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1,0,0
ATF7IP2,0,0,1,,LS513_LARGE_INTESTINE,1,0,0
ATG10,0,0,1,,LU99_LUNG,1,0,0
ATG12,0,0,1,,LUDLU1_LUNG,1,0,0
ATG13,0,0,1,,MAC2A_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1,0,0
ATG14,0,0,1,,MALME3M_SKIN,1,0,0
ATG16L1,0,0,1,,MCAS_OVARY,1,0,0
ATG16L2,0,0,1,,MDAMB415_BREAST,1,0,0
ATG7,0,0,1,,MDAMB435S_SKIN,1,0,0
PGGHG,0,0,1,,MDST8_LARGE_INTESTINE,1,0,0
ATIC,0,0,1,,MELHO_SKIN,1,0,0
ATMIN,0,0,1,,MKN45_STOMACH,1,0,0
ATOH7,0,0,1,,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1,0,0
ATP10D,0,0,1,,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1,0,0
ATP11AUN,0,0,1,,NCIH1648_LUNG,1,0,0
ATP12A,0,0,1,,NCIH1650_LUNG,1,0,0
ATP1A3,0,0,1,,NCIH1703_LUNG,1,0,0
ATP1B3,0,0,1,,NCIH1792_LUNG,1,0,0
ATP2A1,0,0,1,,NCIH2023_LUNG,1,0,0
ATP2A2,0,0,1,,NCIH2030_LUNG,1,0,0
ATP2A3,0,0,1,,NCIH2172_LUNG,1,0,0
ATP2B1,0,0,1,,NCIH2291_LUNG,1,0,0
ATP2B2,0,0,1,,NCIH23_LUNG,1,0,0
ATP4B,0,0,1,,NCIH460_LUNG,1,0,0
